target,file,x,y,obsgroup
WISE-0830,jw02473062001_02101_00002_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00003_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00004_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00005_nrcb2,892,1656,3
WISE-1738,jw02473069001_02101_00001_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00002_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00003_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00004_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00005_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00001_nrcb2,523,1776,0
WISE-1738,jw02473069001_02101_00002_nrcb2,523,1776,0
WISE-1738,jw02473069001_02101_00003_nrcb2,523,1776,0
WISE-1738,jw02473069001_02101_00004_nrcb2,523,1776,0
WISE-1738,jw02473069001_02101_00005_nrcb2,523,1776,0
WISE-2354,jw02473073001_02101_00001_nrcblong,1313,808,2
WISE-2354,jw02473073001_02101_00002_nrcblong,1313,808,2
WISE-2354,jw02473073001_02101_00003_nrcblong,1313,808,2
WISE-2354,jw02473073001_02101_00004_nrcblong,1313,808,2
WISE-2354,jw02473073001_02101_00005_nrcblong,1313,808,2
WISE-2354,jw02473073001_02101_00001_nrcb2,546,1687,2
WISE-2354,jw02473073001_02101_00002_nrcb2,546,1687,2
WISE-2354,jw02473073001_02101_00003_nrcb2,546,1687,2
WISE-2354,jw02473073001_02101_00004_nrcb2,546,1687,2
WISE-2354,jw02473073001_02101_00005_nrcb2,546,1687,2
WISE-1738,jw02473074001_02101_00001_nrcblong,1297,852,2
WISE-1738,jw02473074001_02101_00002_nrcblong,1297,852,2
WISE-1738,jw02473074001_02101_00003_nrcblong,1297,852,2
WISE-1738,jw02473074001_02101_00004_nrcblong,1297,852,2
WISE-1738,jw02473074001_02101_00005_nrcblong,1297,852,2
WISE-1738,jw02473074001_02101_00001_nrcb2,515,1776,2
WISE-1738,jw02473074001_02101_00002_nrcb2,515,1776,2
WISE-1738,jw02473074001_02101_00003_nrcb2,515,1776,2
WISE-1738,jw02473074001_02101_00004_nrcb2,515,1776,2
WISE-1738,jw02473074001_02101_00005_nrcb2,515,1776,2
WISE-1206,jw02473064001_04101_00001_nrcblong,1211,805,4
WISE-1206,jw02473064001_04101_00002_nrcblong,1208,900,4
WISE-1206,jw02473064001_04101_00003_nrcblong,1303,903,4
WISE-1206,jw02473064001_04101_00004_nrcblong,1306,808,4
WISE-1206,jw02473064001_04101_00005_nrcblong,1309,713,4
WISE-1206,jw02473064001_04101_00001_nrcb2,339,1682,4
WISE-1206,jw02473064001_04101_00002_nrcb2,334,1875,4
WISE-1206,jw02473064001_04101_00003_nrcb2,528,1880,4
WISE-1206,jw02473064001_04101_00004_nrcb2,533,1687,4
WISE-1206,jw02473064001_04101_00005_nrcb2,537,1494,4
WISE-1405,jw02473065001_02101_00001_nrcblong,1155,887,4
WISE-1405,jw02473065001_02101_00002_nrcblong,1151,982,4
WISE-1405,jw02473065001_02101_00003_nrcblong,1247,985,4
WISE-1405,jw02473065001_02101_00004_nrcblong,1250,890,4
WISE-1405,jw02473065001_02101_00005_nrcblong,1253,795,4
WISE-1405,jw02473065001_02101_00001_nrcb2,225,1849,4
WISE-1405,jw02473065001_02101_00002_nrcb2,220,2042,4
# OUTSIDE array...
WISE-1405,jw02473065001_02101_00003_nrcb2,416,2048,4
WISE-1405,jw02473065001_02101_00004_nrcb2,419,1854,4
WISE-1405,jw02473065001_02101_00005_nrcb2,424,1661,4
WISE-1446,jw02473066001_02101_00001_nrcblong,1354,814,4
WISE-1446,jw02473066001_02101_00002_nrcblong,1351,909,4
WISE-1446,jw02473066001_02101_00003_nrcblong,1446,912,4
WISE-1446,jw02473066001_02101_00004_nrcblong,1449,817,4
WISE-1446,jw02473066001_02101_00005_nrcblong,1452,722,4
WISE-1446,jw02473066001_02101_00001_nrcb2,630,1698,4
WISE-1446,jw02473066001_02101_00002_nrcb2,625,1891,4
WISE-1446,jw02473066001_02101_00003_nrcb2,819,1896,4
WISE-1446,jw02473066001_02101_00004_nrcb2,823,1703,4
WISE-1446,jw02473066001_02101_00005_nrcb2,828,1510,4
WISE-1541,jw02473067001_02101_00001_nrcblong,1266,833,4
