DefaultName,SpecTypeNIR,SpTNIR_indx,mag_upp,mag_low,Teff (K),Teff_unc (K),SexagesimalRA,SexagesimalDec,RA (deg),RA_unc (mas),Dec (deg),Dec_unc (mas),Epoch,Parallax (mas),Parallax_unc (mas),PMRA (mas/yr),PMRA_unc (mas/yr),PMDec (mas/yr),PMDec_unc (mas/yr),PlxPMRef,RUWE,#CompsInThisSystem,2MASS,WISE,Gaia,SpTNIR_ref,JMKO (mag),JMKOerr (mag),J2MASS (mag),J2MASSerr (mag),H (mag),Herr (mag),K (mag),Kerr (mag),Ks (mag),Kserr (mag),JHK_ref,2MASS_contam?,W1 (mag),W1err (mag),W2 (mag),W2err (mag),W3 (mag),W3err (mag),W4 (mag),W4err (mag),WISEphot_ref,WISE_contam?,GeneralNotes
2MASS J07290002-3954043,T8 pec,68.0,13.5,0.0,752,69,07 28 59.24,-39 53 37.2,112.247022,,-39.893729,,2013.23,110.8,1.5,-564.46,0.33,1694.63,0.31,Kirkpatrick2024,,1,2MASS J07290002-3954043,WISEA J072859.49-395345.3,,Looper2007,15.88,0.08,15.92,0.08,15.98,0.18,15.27,0.5,15.29,,f22f2,,15.581,0.022,13.002,0.007,11.366,0.119,9.09,,CCAA,,
WISE J200050.19+362950.1,T8,68.0,13.5,0.0,765,88,20 00 50.19,+36 29 52.0,300.209094,2.0,36.497796,2.1,2015.64,133.4,2.2,6.1,0.9,372.8,0.9,Kirkpatrick2021a,,1,2MASS J20005017+3629465,WISEA J200050.19+362950.1,,Cushing2014,15.46,0.01,15.81,0.09,15.74,0.01,16.06,0.03,16.8,,P2Pu2,,15.074,0.028,12.683,0.013,11.207,0.098,9.416,,CCAA,,
WISE J033515.01+431045.1,T9,69.0,100.0,15.1,495,88,03 35 15.10,+43 10 44.7,53.81468,1.6,43.177782,1.6,2016.67,84.8,1.7,822.7,0.6,-792.4,0.6,Kirkpatrick2021a,,1,,WISEA J033515.07+431044.7,,Mace2013a,19.47,0.02,19.73,,19.94,0.03,20.86,0.11,18.56,,sBsDB,,18.606,0.261,15.522,0.051,11.901,,8.563,,CCAA,,
WISEA J071301.86-585445.2,T9,69.0,100.0,15.1,521,88,07 13 01.91,-58 54 43.2,108.25801,2.8,-58.911799,2.8,2017.6,82.1,3.0,78.3,1.7,364.0,1.8,Kirkpatrick2021a,,1,,WISEA J071301.86-585445.2,,Tinney2018,,,19.56,0.14,19.48,0.15,,,,,-SS--,,19.268,0.249,15.207,0.022,12.789,,9.631,,CCAA,,
WISE J041358.14-475039.3,T9,69.0,100.0,15.1,540,88,04 13 58.20,-47 50 38.2,63.4926,3.0,-47.843712,3.2,2017.18,50.7,3.3,110.9,2.2,310.3,2.6,Kirkpatrick2021a,,1,,WISEA J041358.14-475039.4,,Mace2013a,19.71,0.13,20.28,0.2,20.2,0.03,,,,,VSk--,,19.155,0.226,15.6,0.033,12.808,,9.323,,CCAA,,
CWISE J042455.69+000221.5,T9:,69.0,100.0,15.1,566,79,04 24 55.70,+00 02 21.4,66.232184,81.0,0.039289,48.5,2017.06,53.2,11.7,183.1,30.6,-100.2,16.9,Kirkpatrick2021a,,1,,CWISE J042455.69+000221.5,,Kirkpatrick2021a,19.67,0.07,,,,,,,,,P----,,19.666,0.53,15.528,0.044,12.665,,,,CCA-,,Poorly constrained trigonometric parallax measurement; retained because d_est < 20 pc (Kirkpatrick2021a).
CWISE J002727.44-012101.7,T9,69.0,100.0,15.1,566,79,00 27 27.45,-01 21 01.8,6.864471,5.6,-1.350482,5.2,2016.8,54.2,7.9,449.3,2.6,57.1,2.1,Kirkpatrick2021a,,1,,CWISE J002727.44-012101.7,,Kirkpatrick2021a,19.64,0.06,,,,,,,,,P----,,18.201,0.149,15.215,0.036,11.998,,,,CCA-,,
CWISE J114120.42-211024.5,T9:,69.0,100.0,15.1,566,79,11 41 20.42,-21 10 24.6,175.334822,15.0,-21.173499,16.9,2016.55,57.9,52.5,-1001.0,19.0,-113.8,10.8,Kirkpatrick2021a,,1,,CWISE J114120.42-211024.5,,Kirkpatrick2021a,19.71,0.19,,,,,,,,,V----,,18.899,0.278,15.478,0.043,12.177,,,,CCA-,,Poorly constrained trigonometric parallax measurement; retained because d_est < 20 pc. Expected parallax is 57.9 mas (Kirkpatrick2021a).
WISE J124309.61+844547.8,T9,69.0,100.0,15.1,601,88,12 43 07.38,+84 45 45.2,190.77771,2.8,84.762231,2.8,2017.34,54.5,3.1,-531.9,1.8,-524.0,1.8,Kirkpatrick2021a,,1,,WISEA J124309.40+844547.7,,Thompson2013,18.86,0.03,,,19.21,0.07,,,,,P-P--,,18.804,0.17,15.523,0.029,13.045,,9.452,,CCAA,,
WISEA J223204.53-573010.4,T9,69.0,100.0,15.1,611,88,22 32 04.73,-57 30 11.1,338.020044,3.2,-57.503112,3.2,2016.92,51.7,3.4,412.6,1.8,-106.4,1.6,Kirkpatrick2021a,,1,,WISEA J223204.53-573010.4,,Tinney2018,18.98,0.07,,,19.2,0.1,,,,,V-k--,,17.678,0.082,15.14,0.028,11.9,0.315,8.74,,CCAA,,
