DefaultName,SpecTypeNIR,SpTNIR_indx,mag_upp,mag_low,Teff (K),Teff_unc (K),SexagesimalRA,SexagesimalDec,RA (deg),RA_unc (mas),Dec (deg),Dec_unc (mas),Epoch,Parallax (mas),Parallax_unc (mas),PMRA (mas/yr),PMRA_unc (mas/yr),PMDec (mas/yr),PMDec_unc (mas/yr),PlxPMRef,RUWE,#CompsInThisSystem,2MASS,WISE,Gaia,SpTNIR_ref,JMKO (mag),JMKOerr (mag),J2MASS (mag),J2MASSerr (mag),H (mag),Herr (mag),K (mag),Kerr (mag),Ks (mag),Kserr (mag),JHK_ref,2MASS_contam?,W1 (mag),W1err (mag),W2 (mag),W2err (mag),W3 (mag),W3err (mag),W4 (mag),W4err (mag),WISEphot_ref,WISE_contam?,GeneralNotes
CWISEP J032109.59+693204.5,Y0.5,70.5,100.0,15.9,412,79,03 21 09.84,+69 32 03.8,50.292298,25.7,69.534458,24.8,2017.12,68.5,4.0,923.9,10.0,-365.3,9.6,Kirkpatrick2021a,,1,,CWISEP J032109.59+693204.5,,,21.16,,,,,,,,,,a----,,19.264,,15.991,0.049,,,,,CC--,,Spectral type estimate Y0.5 (Meisner2020a).
CWISE J181125.34+665806.4,Y0,70.0,100.0,15.9,412,79,18 11 25.34,66 58 06.4,272.855621,33.5,66.968261,28.7,2015.74,69.7,6.8,-91.7,13.9,-439.8,11.6,Kirkpatrick2024,,1,,,,,21.61,0.04,,,,,,,,,x----,,19.061,0.082,16.024,0.03,,,,,CC--,,Estimate is a spectral type of early-Y (Kirkpatrick2024).
CWISE J222701.50+260450.0,Y0,70.0,100.0,15.9,460,79,22 27 01.5,26 04 50.0,336.7562349,295.6,26.080549,308.1,2015.41,50.0,,302.51,102.7,153.7,108.9,CatWISE2020,,1,,,,,22.15,0.05,,,,,,,,,x----,,19.744,,16.291,0.08,,,,,CC--,,Estimates are distance 20.0 pc and spectral type Y0 (Kirkpatrick2024).
CWISEP J093852.89+063440.6,Y0,70.0,15.9,15.4,460,79,09 38 52.92,+06 34 40.2,144.720858,108.5,6.577415,68.1,2016.94,67.9,13.8,435.3,43.3,-662.7,26.2,Kirkpatrick2021a,,1,,CWISEP J093852.89+063440.6,,,21.03,0.12,,,19.69,,18.79,,,,a-aa-,,17.843,0.103,15.882,0.058,,,,,CC--,,Estimated spectral type is Y0 (Meisner2020a).
CWISEP J085938.95+534908.7,Y0,70.0,100.0,15.9,460,79,08 59 38.92,+53 49 08.4,134.911948,102.7,53.818871,70.8,2017.01,53.8,11.5,-215.6,43.2,-327.8,29.4,Kirkpatrick2021a,,1,,CWISEP J085938.95+534908.7,,,19.7,,,,,,,,,,a----,,19.757,,16.009,0.061,,,,,CC--,,Poorly constrained trigonometric parallax measurement; retained because d_est < 20 pc. Expected parallax is 53.8 mas (Kirkpatrick2021a) and estimated spectral type is Y0 (Meisner2020a).
CWISEP J104756.81+545741.6,Y0,70.0,100.0,15.9,460,79,10 47 56.70,+54 57 41.7,161.985934,105.4,54.961405,88.7,2016.91,75.2,12.8,-447.9,41.7,-65.5,35.2,Kirkpatrick2021a,,1,,CWISEP J104756.81+545741.6,,,19.83,,,,,,,,,,a----,,19.365,,16.177,0.064,,,,,CC--,,Estimated spectral type is Y0 (Meisner2020a).
WISEA J153429.75-104303.3,Y0,70.0,100.0,15.9,686,79,15 34 29.19,-10 43 19.0,233.622084,174.9,-10.721453,86.2,2016.3,61.4,4.7,-1253.1,8.9,-2377.0,7.0,Kirkpatrick2021b,,1,,WISEA J153429.75-104303.3,,,24.5,0.3,,,18.58,,,,17.85,,z-a-a,,18.182,0.189,16.145,0.084,12.014,,8.881,,CCAA,,"Estimated spectral type is esdT/Y (Kirkpatrick2021b). Aka ""The Accident""."
CWISEP J193518.59-154620.3,Y1,71.0,15.9,15.4,367,79,19 35 18.61,-15 46 20.8,293.827684,25.2,-15.772363,25.1,2017.51,69.3,3.8,290.2,11.6,43.1,11.5,Kirkpatrick2021a,,1,,CWISEP J193518.59-154620.3,,,21.7,,,,,,,,18.0,,a---a,,18.754,0.289,15.792,0.061,,,,,CC--,,Estimated spectral type is >=Y1 (Meisner2020a).
CWISEP J225628.97+400227.3,Y1,71.0,15.9,15.4,367,79,22 56 29.08,+40 02 27.4,344.121593,70.3,40.040903,50.6,2016.9,101.8,11.2,698.4,26.0,-175.1,18.8,Kirkpatrick2021a,,1,,CWISEP J225628.97+400227.3,,,21.7,0.41,,,,,,,,,a----,,18.774,0.214,15.856,0.049,,,,,CC--,,Estimated spectral type >=Y1 (Meisner2020a).
CWISEP J040235.55-265145.4,Y1,71.0,15.9,15.4,367,79,04 02 35.60,-26 51 45.4,60.649091,67.7,-26.863288,63.4,2017.18,116.4,20.5,767.0,25.6,-532.9,23.1,Kirkpatrick2021a,,1,,CWISEP J040235.55-265145.4,,,20.34,,,,,,,,18.41,,a---a,,17.995,0.112,15.583,0.041,,,,,CC--,,Spectral type estimate >=Y1 (Meisner2020a).
WISEA J030237.53-581740.3,Y0:,70.0,15.9,15.4,460,79,03 02 37.48,-58 17 40.6,45.656205,3.3,-58.294736,3.1,2017.41,59.9,3.3,52.0,3.5,-70.8,3.5,Kirkpatrick2021a,,1,,WISEA J030237.53-581740.3,,Tinney2018,20.76,0.11,,,,,,,,,-----,,18.99,0.185,15.897,0.038,12.94,,9.323,,CCAA,,
CWISEP J063428.10+504925.9,Y0,70.0,15.9,15.4,460,79,06 34 28.14,+50 49 24.4,98.617026,35.2,50.823248,35.2,2016.97,62.0,4.2,285.9,13.6,-1157.6,13.6,Kirkpatrick2021a,,1,,CWISEP J063428.10+504925.9,,,19.52,,,,,,,,,,a----,,18.709,0.227,15.888,0.055,,,,,CC--,,Spectral type estimate is Y0 (Meisner2020a).
CWISE J235120.60-700026.2,Y0,70.0,15.9,15.4,460,79,23 51 20.6,-70 00 26.2,357.8357837,143.8,-70.007267,130.2,2015.41,76.3,,16.08,52.2,-132.28,49.1,CatWISE2020,,1,,,,,22.43,0.21,,,,,,,,,x----,,19.439,0.335,15.626,0.036,,,,,CC--,,Estimates are distance 13.1 pc and spectral type Y0 (Kirkpatrick2024).
WISEA J193054.55-205949.4,Y1,71.0,15.4,14.9,367,79,19 30 54.11,-20 59 55.8,292.725194,23.9,-20.99913,18.2,2017.45,106.3,4.9,-1047.5,10.2,-1075.9,8.0,Kirkpatrick2021a,,1,,WISEA J193054.55-205949.4,,,19.8,,,,,,,,18.08,,A---A,,19.389,,15.352,0.044,12.096,,8.295,,CCAA,,Estimated spectral type is >=Y1 (Meisner2020b).
CWISE J153143.38-330657.3,Y0,70.0,15.4,14.9,460,79,15 31 43.39,-33 06 57.4,232.9307741,111.6,-33.115949,125.7,2015.41,58.9,,-27.87,37.8,-308.07,39.7,CatWISE2020,,1,,CWISE J153143.38-330657.3,,,18.66,0.08,,,,,,,,,V----,,18.986,0.344,14.995,0.034,,,,,CC--,,Expected parallax is 58.9 mas and estimated spectral type is Y0 (Kirkpatrick2021a).
WISEA J224319.56-145857.3,Y0,70.0,15.4,14.9,460,79,22 43 19.66,-14 59 00.3,340.831935,42.6,-14.983549,55.1,2016.41,68.3,,329.9,14.4,-532.1,16.8,Kirkpatrick2021a,,1,,WISEA J224319.56-145857.3,,,19.91,,,,,,,,18.06,,A---A,,18.435,0.208,15.399,0.047,12.255,,8.794,,CCAA,,Expected parallax is 68.3 mas (Kirkpatrick2021a) and estimated spectral type is Y0 (Meisner2020b).
CWISEP J201146.45-481259.7,Y0,70.0,15.4,14.9,460,79,20 11 46.50,-48 12 59.8,302.943925,25.0,-48.216745,23.7,2017.47,71.0,3.7,72.4,11.0,-402.8,10.5,Kirkpatrick2021a,,1,,CWISE J201146.50-481259.8,,,20.08,,,,19.05,,,,18.46,,a-a-a,,17.767,0.113,15.334,0.04,,,,,CC--,,Estimated spectral type is Y0 (Meisner2020a).
CWISER J021612.11+423015.9,Y0,70.0,15.4,14.9,460,79,02 16 12.11,42 30 15.9,34.0505316,108.9,42.504472,110.1,2015.41,92.6,,371.52,36.4,213.35,36.2,CatWISE2020,,1,,,,,21.72,0.04,,,,,,,,,x----,,19.412,0.412,15.196,0.035,,,,,cc--,,Estimates are distance 10.8 pc and spectral type Y0 (Kirkpatrick2024).
CWISE J092503.20-472013.8,Y0,70.0,15.4,14.9,460,79,09 25 03.21,-47 20 14.2,141.2633899,103.9,-47.337285,113.4,2015.41,93.3,,-80.41,37.9,804.0,42.9,CatWISE2020,,1,,CWISE J092503.20-472013.8,,,18.29,0.05,,,,,,,,,-----,,19.234,0.375,15.298,0.027,,,,,CC--,,Expected parallax is 93.3 mas and estimated spectral type is Y0 (Kirkpatrick2021a).
WISE J035000.32-565830.2,Y1,71.0,14.9,0.0,388,88,03 50 00.21,-56 58 33.1,57.500868,2.2,-56.975831,2.4,2015.21,176.4,2.3,-208.7,1.0,-575.4,1.1,Kirkpatrick2021a,,1,,WISEA J035000.31-565830.5,,Kirkpatrick2012,22.18,0.07,,,22.26,0.14,,,,,s-s--,,18.577,0.122,14.733,0.016,12.325,0.282,8.931,,CCAA,,
WISE J220905.73+271143.9,Y0:,70.0,14.9,0.0,389,88,22 09 06.33,+27 11 35.0,332.275805,1.9,27.193641,1.9,2015.41,161.7,2.0,1202.2,0.8,-1365.4,0.8,Kirkpatrick2021a,,1,,WISEA J220905.75+271143.6,,Cushing2014,22.86,0.13,,,22.39,0.15,,,,,s-s--,,18.52,0.202,14.739,0.022,12.455,0.387,9.173,,CCAA,,
WISENF J193656.08+040801.2,Y0,70.0,14.9,0.0,460,79,19 36 55.95,+04 07 55.1,294.232524,19.9,4.131561,20.1,2017.97,113.9,3.8,-428.6,11.4,-1102.1,11.5,Kirkpatrick2021a,,1,,WISENF J193656.08+040801.2,,,19.57,,,,,,,,,,a----,,17.174,0.097,14.445,0.021,,,,,CC--,,Estimated spectral type is Y0 (Meisner2020a).
